num_ip,reg_time,country,registrar,tld,dot_num,avg_host,max_host,avg_path,max_path,class
0,,,,com,0,13.0,13,5.333333333333333,7,bad
2,1298476800,,ENOM INC.,com,0,21.0,21,5.0,6,bad
2,1302451200,,GODADDY.COM LLC,it,0,18.0,18,5.0,6,bad
0,,,,com,0,12.0,12,0.0,0,bad
2,1212076800,,FASTDOMAIN INC.,com,0,14.0,14,3.0,5,bad
0,,,,com,0,4.0,4,2.5,5,bad
2,1117728000,,,net,0,7.0,7,3.6666666666666665,5,bad
5,1369929600,JP,GMO INTERNET INC.,net,0,7.0,7,3.3333333333333335,5,bad
5,1369929600,JP,GMO INTERNET INC.,net,1,12.0,16,0.0,0,bad
0,,,,com.br,0,5.0,5,4.0,4,bad
0,,,,gr,0,12.0,12,5.666666666666667,8,bad
0,,,,com,0,4.0,4,3.6666666666666665,9,bad
2,1079539200,YE,GODADDY.COM LLC,com,1,2.5,4,3.6666666666666665,9,bad
2,1079539200,YE,GODADDY.COM LLC,com.ve,0,11.0,11,7.0,14,bad
0,,,,ca,0,11.0,11,5.142857142857143,9,bad
0,,,,com.br,0,7.0,7,5.666666666666667,8,bad
0,,,,com.br,0,7.0,7,5.666666666666667,8,bad
0,,,,com,0,16.0,16,5.666666666666667,8,bad
2,1312732800,,GODADDY.COM LLC,info,0,11.0,11,5.666666666666667,8,bad
2,1244390400,UY,GODADDY.COM LLC,info,0,11.0,11,5.666666666666667,8,bad
2,1244390400,UY,GODADDY.COM LLC,info,0,11.0,11,5.666666666666667,8,bad
2,1244390400,UY,GODADDY.COM LLC,com.ar,0,12.0,12,5.0,7,bad
0,,,,net,1,9.5,14,3.5,4,bad
0,,,,ro,0,7.0,7,5.416666666666667,11,bad
0,,,ROMARG SRL,ro,0,7.0,7,5.5,11,bad
0,,,ROMARG SRL,at,0,2.3333333333333335,3,3.3333333333333335,6,bad
0,,,,net,0,6.0,6,3.5,4,bad
3,955728000,CH,GANDI SAS,org,1,6.5,10,5.5,6,bad
0,,,,com.br,0,16.0,16,5.666666666666667,8,bad
0,,,,uk,3,4.25,7,5.666666666666667,8,bad
0,,,,ro,0,10.0,10,5.666666666666667,8,bad
0,,,,at,0,2.3333333333333335,3,4.333333333333333,6,bad
0,,,,com,0,25.0,25,5.666666666666667,8,bad
2,1301587200,,GODADDY.COM LLC,gr,0,15.0,15,5.666666666666667,8,bad
0,,,,at,0,2.3333333333333335,3,4.0,6,bad
0,,,,at,0,2.3333333333333335,3,4.0,6,bad
0,,,,mx,1,5.0,7,0.0,0,bad
0,,,GODADDY.COM,rs,1,4.5,7,5.0,6,bad
0,,,,at,0,2.3333333333333335,3,3.6666666666666665,6,bad
0,,,,at,0,2.3333333333333335,3,3.3333333333333335,6,bad
0,,,,at,0,2.3333333333333335,3,8.333333333333334,16,bad
0,,,,at,0,2.3333333333333335,3,4.666666666666667,6,bad
0,,,,at,0,2.3333333333333335,3,3.6666666666666665,6,bad
0,,,,nu,1,6.0,10,2.5,3,bad
0,,,,at,0,2.3333333333333335,3,3.6666666666666665,6,bad
0,,,,at,0,2.3333333333333335,3,3.6666666666666665,6,bad
0,,,,at,0,2.3333333333333335,3,6.333333333333333,10,bad
0,,,,nl,0,12.0,12,3.25,5,bad
0,,,,com,0,12.0,12,6.5,10,bad
2,1080316800,,REGISTER.COM INC.,ru,1,3.5,4,5.75,9,bad
0,,,,by,0,8.0,8,5.75,9,bad
2,1326470400,,RELIABLE SOFTWARE LTD,at,0,2.3333333333333335,3,4.333333333333333,6,bad
0,,,,de,0,5.0,7,3.6666666666666665,4,bad
0,,,,biz,1,9.5,15,4.0,6,bad
5,1005062400,UNITED STATES,,at,0,2.3333333333333335,3,3.3333333333333335,6,bad
0,,,,at,0,2.3333333333333335,3,5.666666666666667,8,bad
0,,,,cc,1,4.5,8,5.8,9,bad
3,876499200,US,NAMESILO LLC,com,0,14.0,14,5.833333333333333,10,bad
0,,,,org,0,13.0,13,5.0,8,bad
2,1214064000,US,GODADDY.COM LLC (R91-LROR),com,1,9.0,17,6.0,10,bad
4,1315238400,US,DOMAIN.COM LLC,com,1,6.5,12,6.0,10,bad
2,1479225600,US,,com,1,7.5,14,5.25,7,bad
2,1352304000,HK,DOMAIN.COM LLC,org,1,6.5,12,6.0,10,bad
2,1051113600,US,,com,1,3.0,5,6.0,10,bad
3,1233158400,,DOMAIN.COM LLC,com.br,0,18.0,18,4.25,6,bad
0,,,,name,1,8.5,13,4.0,6,bad
0,,,ENOM INC.,com,1,12.5,18,2.6,5,bad
0,,,,com,1,9.5,13,3.2,6,bad
2,1244131200,,GODADDY.COM LLC,net,0,8.0,8,4.0,5,bad
2,1187452800,,1&1 INTERNET SE,com,0,5.0,5,4.0,5,bad
2,1307894400,,XIN NET TECHNOLOGY CORPORATION,by,0,10.0,10,4.0,5,bad
2,1316966400,,OPEN CONTACT LTD,com,1,3.0,5,5.25,7,bad
3,1233158400,,DOMAIN.COM LLC,net,1,1.6666666666666667,3,5.5,8,bad
4,1232985600,,,com.ua,0,8.0,8,4.25,6,bad
0,,,,cc,1,7.0,9,4.0,8,bad
0,,,,cn,0,4.0,4,2.0,3,bad
0,,,,com,1,9.5,18,5.5,8,bad
4,1239897600,,DOMAIN.COM LLC,com,1,6.0,11,5.5,8,bad
