tld,dot_num,avg_host,max_host,avg_path,max_path,class
com,0,12.0,12,3.5,7,bad
com,0,7.0,8,3.3333333333333335,4,bad
org,1,7.5,10,0.0,0,bad
org,1,6.0,9,6.0,8,good
ca,2,4.25,7,4.0,8,good
com,0,9.0,9,7.0,7,bad
com,1,8.0,13,4.833333333333333,10,good
com,1,7.5,12,7.111111111111111,13,good
org,0,12.0,12,4.25,8,bad
de,2,4.25,7,7.25,13,good
pl,1,8.0,14,6.4,7,bad
com,1,7.0,7,4.714285714285714,7,bad
in,1,4.5,6,6.125,12,good
uk,2,3.6666666666666665,6,5.8,9,good
com,0,18.0,18,3.0,6,bad
com,0,12.0,12,5.0,9,bad
com.au,0,8.0,8,2.0,2,bad
edu,1,6.0,9,7.0,10,good
uz,0,2.0,2,7.0,7,bad
ru,0,2.0,2,3.5,7,good
com.br,0,16.0,16,10.75,32,bad
gov.tw,1,3.0,3,4.428571428571429,7,good
ru,1,5.5,8,4.0,5,good
com,0,12.0,12,7.117647058823529,32,bad
org,1,6.0,9,5.5,7,good
com,1,7.5,14,5.25,7,bad
com,0,7.0,7,3.0,6,bad
net,1,6.0,10,4.0,5,bad
cz,1,5.0,7,3.3333333333333335,6,good
com.cn,1,8.5,14,4.0,5,good
com,2,4.333333333333333,7,6.0,6,bad
org,1,5.666666666666667,9,2.0,4,good
mv,1,4.0,5,0.0,0,good
com,0,13.0,13,3.5714285714285716,6,bad
vn,0,8.0,8,4.333333333333333,8,bad
it,2,4.333333333333333,7,8.0,10,good
com,1,5.0,7,6.0,7,good
ru,1,6.0,9,5.0,8,good
fi,1,7.5,9,4.5,9,good
com,0,14.0,14,4.25,10,bad
ru,0,11.0,11,3.5,4,bad
org,1,6.0,9,29.0,54,good
fi,1,7.5,9,4.5,9,good
ly,0,3.0,3,7.0,7,good
org,1,5.5,9,4.0,4,good
org,1,6.0,7,4.333333333333333,6,good
com,1,5.0,7,5.333333333333333,7,good
com,0,18.0,18,0.0,0,bad
th,3,4.25,7,10.0,10,good
legal,0,13.0,13,7.222222222222222,32,bad
com,1,5.0,7,4.428571428571429,8,good
org,1,5.5,9,10.5,17,good
gov.pt,1,3.0,3,3.8,8,good
com.br,0,4.0,4,5.8,11,bad
com,1,11.0,12,4.777777777777778,11,good
co,0,4.0,4,3.0,3,bad
com,1,6.5,7,1.75,3,good
com,0,12.0,12,3.0,6,bad
com,1,7.5,12,2.75,4,good
org,1,6.0,10,4.6,8,good
com,1,6.0,9,4.363636363636363,8,good
org,1,5.333333333333333,7,5.0,7,good
com,0,17.0,17,8.125,32,bad
info,0,7.0,7,2.0,3,bad
org,1,5.0,6,4.0,5,good
gr,0,9.0,9,4.0,9,bad
org,1,6.0,9,0.0,0,good
gov,1,7.5,12,9.25,21,good
com,1,9.0,9,7.333333333333333,13,good
su,0,6.0,9,5.666666666666667,13,bad
com,1,7.5,12,4.714285714285714,8,good
org,1,6.0,9,42.5,81,good
info,0,8.0,8,10.571428571428571,32,bad
com,0,8.0,8,6.0,6,bad
nl,1,5.0,7,2.0,3,good
org,0,10.0,10,7.5,10,good
org,1,5.5,9,8.0,12,good
org,1,3.6666666666666665,7,0.0,0,good
no,1,7.0,9,6.75,11,good
com,1,10.5,18,0.0,0,good
com,0,12.0,12,5.111111111111111,9,bad
se,0,6.0,7,11.25,32,bad
com.br,0,9.0,9,4.5,8,bad
edu,2,6.333333333333333,7,3.5,6,good
org,1,4.0,6,6.75,12,good
edu.tr,1,6.5,9,4.333333333333333,6,good
nz,1,2.5,3,4.8,9,bad
us,0,4.0,4,5.0,5,bad
org,1,4.0,5,6.75,10,good
us,3,4.75,9,3.0,6,good
ca,0,15.0,15,6.0,6,bad
org,1,5.5,9,23.333333333333332,36,good
com,0,4.0,4,7.5,8,good
org,1,7.0,10,13.333333333333334,28,good
net,1,5.0,7,7.0,13,good
ru,0,9.0,9,3.1666666666666665,6,good
org,1,6.0,10,23.5,30,good
com,1,6.666666666666667,8,0.0,0,good
org,1,9.5,11,0.0,0,bad
xyz,0,7.0,7,0.0,0,bad
fr,1,6.5,10,6.6,13,good
com,1,11.0,14,4.6,8,good
com.au,0,7.0,7,9.555555555555555,32,bad
br,1,5.0,7,0.5,1,good
org,1,8.0,9,5.0,10,good
com,1,5.5,8,6.0,9,good
pl,0,7.0,7,11.0,11,bad
us,1,15.0,17,5.333333333333333,11,bad
net,1,5.0,7,0.0,0,good
com,1,4.0,6,12.0,31,good
com,1,12.5,18,5.0,7,good
net,0,8.0,8,2.0,4,bad
de,0,7.0,7,3.857142857142857,6,bad
com,0,15.0,15,1.5,3,bad
ro,1,10.0,13,3.0,3,bad
cymru,1,9.0,9,5.333333333333333,7,good
ca,2,5.333333333333333,8,3.3333333333333335,8,good
ru,0,14.0,14,5.333333333333333,7,bad
com,0,18.0,18,3.2,8,good
il,2,4.333333333333333,6,5.0,5,good
ch,1,4.5,5,5.5,6,good
org,1,10.0,17,5.5,10,good
org,1,5.5,9,4.5,5,good
org,1,6.0,9,3.0,5,good
pl,1,7.5,9,7.0,7,bad
com,0,14.0,14,3.6666666666666665,5,bad
net,0,10.0,10,3.5,7,bad
com,0,8.0,8,1.5,3,bad
com,1,5.0,7,8.5,13,good
edu,1,4.0,4,4.5,8,good
ru,1,4.5,6,4.8,11,good
com,1,9.0,10,4.083333333333333,10,good
